uid,sessionID,timestamp,query,docid,url,SERP_rank,SERP_page,retriever_rank
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.649000+00:00,can pigs climb trees,4790,https://www.commonlit.org/texts/the-three-little-pigs,1,1,1
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.649000+00:00,can pigs climb trees,5779,http://www.gutenberg.org/files/24940/24940-h/24940-h.htm#Page_90,2,1,2
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.649000+00:00,can pigs climb trees,7020,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_204,3,1,3
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.650000+00:00,can pigs climb trees,3441,https://www.africanstorybook.org/#,4,1,4
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.650000+00:00,can pigs climb trees,2659,https://www.africanstorybook.org/,5,1,5
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.650000+00:00,can pigs climb trees,2834,https://www.africanstorybook.org/,6,1,6
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.650000+00:00,can pigs climb trees,3300,https://www.africanstorybook.org/#,7,1,7
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.650000+00:00,can pigs climb trees,4492,https://www.commonlit.org/texts/the-sheep-and-the-pig,8,1,8
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.651000+00:00,can pigs climb trees,3092,https://www.africanstorybook.org/#,9,1,9
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:09.651000+00:00,can pigs climb trees,7167,http://www.gutenberg.org/cache/epub/3152/pg3152.html,10,1,10
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.847000+00:00,can pigs climb trees,3888,http://www.gutenberg.org/cache/epub/6328/pg6328-images.html,1,6,51
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.847000+00:00,can pigs climb trees,5567,http://www.gutenberg.org/files/28132/28132-h/28132-h.htm#Page_109,2,6,52
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.848000+00:00,can pigs climb trees,6755,http://www.gutenberg.org/cache/epub/10320/pg10320-images.html,3,6,53
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.848000+00:00,can pigs climb trees,5480,http://www.gutenberg.org/ebooks/19399,4,6,54
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.848000+00:00,can pigs climb trees,2833,https://www.africanstorybook.org/,5,6,55
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.848000+00:00,can pigs climb trees,3233,https://www.africanstorybook.org/#,6,6,56
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.848000+00:00,can pigs climb trees,3285,https://www.digitallibrary.io/en/books/details/3739,7,6,57
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.849000+00:00,can pigs climb trees,3271,https://www.africanstorybook.org/,8,6,58
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.849000+00:00,can pigs climb trees,1579,http://www.gutenberg.org/files/16173/16173-h/16173-h.htm#mayday,9,6,59
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:20.849000+00:00,can pigs climb trees,7149,http://www.gutenberg.org/cache/epub/3152/pg3152.html,10,6,60
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.741000+00:00,can pigs climb trees,5313,http://www.gutenberg.org/files/40756/40756-h/40756-h.htm#Page_146,1,4,31
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.742000+00:00,can pigs climb trees,5463,http://www.gutenberg.org/files/28142/28142-h/28142-h.htm#Page_91,2,4,32
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.742000+00:00,can pigs climb trees,7166,http://www.gutenberg.org/cache/epub/3152/pg3152.html,3,4,33
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.742000+00:00,can pigs climb trees,3247,https://www.africanstorybook.org/,4,4,34
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.743000+00:00,can pigs climb trees,3606,http://www.gutenberg.org/files/42796/42796-h/42796-h.htm,5,4,35
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.743000+00:00,can pigs climb trees,1598,http://www.gutenberg.org/cache/epub/3152/pg3152-images.html,6,4,36
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.744000+00:00,can pigs climb trees,4791,https://www.commonlit.org/texts/jack-and-the-beanstalk,7,4,37
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.744000+00:00,can pigs climb trees,6810,http://www.gutenberg.org/files/16540/16540-h/16540-h.htm#THE_BLACKBIRDS_NEST,8,4,38
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.744000+00:00,can pigs climb trees,7187,http://www.gutenberg.org/files/17513/17513-h/17513-h.htm#page18,9,4,39
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:31.745000+00:00,can pigs climb trees,3353,https://www.digitallibrary.io/en/books/details/3707,10,4,40
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:54.055000+00:00,what do pigs eat,3300,https://www.africanstorybook.org/#,1,1,1
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:54.055000+00:00,what do pigs eat,7016,http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_185,2,1,2
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:54.056000+00:00,what do pigs eat,5536,http://www.gutenberg.org/files/28130/28130-h/28130-h.htm#Page_61,3,1,3
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:54.056000+00:00,what do pigs eat,5313,http://www.gutenberg.org/files/40756/40756-h/40756-h.htm#Page_146,4,1,4
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:54.056000+00:00,what do pigs eat,1159,http://www.gutenberg.org/files/17163/17163-h/17163-h.htm,5,1,5
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:54.057000+00:00,what do pigs eat,5695,http://www.gutenberg.org/files/24476/24476-h/24476-h.htm#Page_93,6,1,6
Participant10,24cce0de-96b4-41eb-bd43-110c3e25313a,2026-03-11 16:06:54.057000+00:00,what do pigs eat,5514,http://www.gutenberg.org/files/28140/28140-h/28140-h.htm#Page_180,7,1,7
